dim,times
100000,0.0304
400000,0.3378
700000,0.7661
1000000,1.3181
1300000,1.7451
1600000,2.1898
1900000,2.7415
2200000,3.2133
2500000,3.7954
2800000,5.4719
3100000,4.5003
3400000,5.2956
3700000,4.9649
4000000,5.4036
4300000,6.5916
4600000,7.9759
4900000,6.5272
